Membership No  Date Joined  Active  
    14330      2019-6-6     yes   
    56296      2019-11-18   no    
    46829      2016-1-9     yes   
    97063      2020-3-22    no    
    73261      2016-10-22   yes   
    99011      2015-2-17    yes   
    91895      2018-4-25    no    
    17181      2019-8-11    no    
    59132      2019-4-18    yes   
    89971      2018-4-17    yes   
    73159      2017-8-19    yes   
    99584      2015-1-6     no    
    54612      2019-5-3     yes   
    66957      2016-2-6     yes   
    42908      2017-7-9     no    
    21988      2017-12-16   yes   
    87396      2017-11-6    yes   
    18758      2017-12-1    no    
    95947      2018-10-23   no    
    14193      2016-6-20    yes   
