Membership No  Date Joined  Active  
    22364      2017-7-11    no    
    15787      2015-11-6    yes   
    10174      2017-4-16    no    
    73985      2020-8-13    yes   
    28326      2017-8-15    yes   
    55957      2020-7-1     no    
    27052      2016-2-15    yes   
    46320      2018-10-15   yes   
    53529      2018-3-18    no    
    28940      2016-12-4    no    
    51807      2018-8-8     yes   
    71868      2016-11-25   yes   
    17240      2016-3-4     yes   
    84734      2016-8-7     yes   
    24069      2015-9-12    no    
    28433      2019-5-6     no    
    80945      2015-12-11   yes   
    96564      2016-10-21   yes   
    96497      2020-2-11    no    
    98992      2015-10-21   yes   
